circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
mqtbench/ae_15,15,rl_multistart_routed,74,453,1045,453,0.024548915303380592,0.0038337221946557315,1142.0,1.07,75,456,905,4.249321144168919e-06,0.01652985806423452,1230.0,74,425,728,1.0128992406165086e-07,0.02046443742348559,1226.0
mqtbench/bmw_quark_cardinality_15,15,hybrid_sabre_adopted,0,84,187,84,0.035288677594995085,0.01668683497137233,168.0,0.475,0,84,187,0.035288677594995085,0.01668683497137233,168.0,0,84,147,0.10937103462616679,0.009882424389523943,168.0
mqtbench/bv_15,15,rl_multistart_routed,3,16,27,16,0.8835485583958822,0.0040367325672415666,20.0,0.411,3,16,46,0.47427173437885445,0.022946223437272862,36.0,2,11,31,0.5743634028008305,0.02322748224452932,24.0
mqtbench/dj_15,15,hybrid_sabre_adopted,8,38,88,38,0.20664110249646817,0.02458058910435815,68.0,0.436,8,38,88,0.20664110249646817,0.02458058910435815,68.0,6,30,75,0.3445454950263537,0.019899188176257375,76.0
mqtbench/dynamic_qft_15,15,rl_multistart_routed,0,0,30,0,0.8430364905434524,,0.0,0.685,0,0,30,0.6186923256617362,,0.0,0,0,30,0.7471301213662492,,0.0
mqtbench/ghz_15,15,hybrid_sabre_adopted,0,14,59,14,0.5900622322913729,0.01668683497137233,28.0,0.396,0,14,59,0.5900622322913729,0.01668683497137233,28.0,0,14,45,0.7337317855675354,0.009298112128128658,28.0
mqtbench/ghz_dynamic_15,15,hybrid_sabre_adopted,0,21,28,21,0.4201678496451373,0.01614419029772291,42.0,0.418,0,21,28,0.4201678496451373,0.01614419029772291,42.0,0,21,28,0.7038649702366506,0.008463394080192315,42.0
mqtbench/graphstate_15,15,rl_multistart_routed,3,24,22,24,0.862573774361033,0.0032123611063103637,36.0,0.58,3,24,17,0.6168554416470485,0.012542873267021198,40.0,2,19,19,0.593563363733666,0.015092672203804102,36.0
mqtbench/grover_15,15,hybrid_sabre_adopted,102393,543979,1574683,543979,4.4e-323,0.019697057625722093,1101600.0,41.004,102393,543979,1574683,4.4e-323,0.019697057625722093,1101600.0,102341,494581,1274984,4.4e-323,0.01954292988074695,1228000.0
mqtbench/half_adder_15,15,rl_multistart_routed,53,316,623,316,0.07503913880876652,0.003921442762194004,480.0,0.392,54,319,618,1.149064898236396e-05,0.019388689430050284,578.0,51,286,468,0.00010019834495326286,0.01753532370934847,540.0
mqtbench/hhl_15,15,hybrid_sabre_adopted,143,837,1656,837,2.14998210367528e-10,0.015375786198667116,2146.0,0.579,143,837,1656,2.14998210367528e-10,0.015375786198667116,2146.0,135,738,1279,9.899814640909403e-14,0.021601935251236264,2134.0
mqtbench/iqpe_15,2,rl_multistart_routed,0,28,282,28,0.661454671245046,0.001653992511892459,56.0,0.31,0,28,282,0.8195419663760997,0.002672411514998057,56.0,0,27,297,0.7965863149498074,0.002672411514998057,56.0
mqtbench/qaoa_15,15,hybrid_sabre_adopted,78,434,679,434,8.997208776488136e-08,0.02183657097446933,1024.0,0.384,78,434,679,8.997208776488136e-08,0.02183657097446933,1024.0,67,389,563,6.227887469404716e-07,0.022476890668649958,992.0
mqtbench/qft_15,15,hybrid_sabre_adopted,59,387,537,387,6.926284426204007e-05,0.013750816086810507,1304.0,1.174,59,387,537,6.926284426204007e-05,0.013750816086810507,1304.0,60,334,477,0.00015115069894001677,0.013724544498206884,1280.0
mqtbench/qftentangled_15,15,hybrid_sabre_adopted,68,428,616,428,1.2730832037579077e-05,0.013858235948843214,1264.0,0.405,68,428,616,1.2730832037579077e-05,0.013858235948843214,1264.0,66,390,573,7.042973974145234e-07,0.01954723220972843,1248.0
mqtbench/qnn_15,15,hybrid_sabre_adopted,0,14,62,14,0.4644325482354626,0.01668683497137233,28.0,0.447,0,14,62,0.4644325482354626,0.01668683497137233,28.0,0,14,48,0.5831889622986732,0.009882424389523943,28.0
mqtbench/qpeexact_15,15,hybrid_sabre_adopted,60,390,818,390,7.4623951336421e-08,0.02039940568570508,1272.0,1.31,60,390,818,7.4623951336421e-08,0.02039940568570508,1272.0,59,320,528,0.00018110567195921915,0.01465425224670965,1288.0
mqtbench/qpeinexact_15,15,hybrid_sabre_adopted,60,390,826,390,7.315514085489728e-08,0.02039940568570508,1272.0,1.177,60,390,826,7.315514085489728e-08,0.02039940568570508,1272.0,59,341,714,0.0005612725056564619,0.012186515910363427,1136.0
mqtbench/qwalk_15,15,rl_multistart_routed,5422,27276,70509,27276,1.1812381069349839e-83,0.0037792141708593427,46812.0,2.347,5427,27291,70982,4.4e-323,0.019944078172752386,55164.0,5342,24944,57469,4.4e-323,0.019839994210383894,54612.0
mqtbench/randomcircuit_15,15,hybrid_sabre_adopted,328,1786,2793,1786,1.7713820227607287e-27,0.02026092523933172,4220.0,0.473,328,1786,2793,1.7713820227607287e-27,0.02026092523933172,4220.0,332,1660,2189,1.9856464883190117e-22,0.01735139858658473,4058.0
mqtbench/vqe_real_amp_15,15,hybrid_sabre_adopted,0,42,77,42,0.17070524777160948,0.016686834971372327,84.0,0.608,0,42,77,0.17070524777160948,0.016686834971372327,84.0,0,42,76,0.29547485499017473,0.009882424389523943,84.0
mqtbench/vqe_su2_15,15,hybrid_sabre_adopted,0,42,80,42,0.14822569722810067,0.016686834971372327,84.0,0.342,0,42,80,0.14822569722810067,0.016686834971372327,84.0,0,42,74,0.27868227912233956,0.009882424389523943,84.0
mqtbench/vqe_two_local_15,15,hybrid_sabre_adopted,215,960,900,960,5.690854757060229e-13,0.01979387388636034,1740.0,1.196,215,960,900,5.690854757060229e-13,0.01979387388636034,1740.0,181,624,533,2.014420315750975e-07,0.01414229741602171,2016.0
mqtbench/wstate_15,15,hybrid_sabre_adopted,0,28,78,28,0.3187965946757109,0.016686834971372324,56.0,0.531,0,28,78,0.3187965946757109,0.016686834971372324,56.0,0,28,63,0.49118370423258145,0.009882424389523945,56.0
