circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
mqtbench/ae_15,15,hybrid_sabre_adopted,81,474,998,474,0.028561518972863135,0.0035306166461970584,1184.0,1.066,81,474,998,0.028561518972863135,0.0035306166461970584,1184.0,78,411,736,0.05378751752449445,0.003376997711560341,1214.0
mqtbench/bmw_quark_cardinality_15,15,hybrid_sabre_adopted,0,84,187,84,0.43713207250113056,0.0035249846601340903,168.0,0.544,0,84,187,0.43713207250113056,0.0035249846601340903,168.0,0,84,147,0.41691851865178525,0.0035301801359904246,168.0
mqtbench/bv_15,15,rl_multistart_routed,3,16,33,16,0.8934142470898518,0.0028804010962603785,20.0,0.518,3,16,46,0.8937922472270107,0.003081178101155409,30.0,2,13,35,0.9071144683919921,0.0036794649307270123,26.0
mqtbench/dj_15,15,hybrid_sabre_adopted,8,38,88,38,0.7528844861496254,0.0035245858568303803,68.0,0.323,8,38,88,0.7528844861496254,0.0035245858568303803,68.0,6,30,75,0.7953373014087205,0.003541123609656834,76.0
mqtbench/dynamic_qft_15,15,rl_multistart_routed,0,0,30,0,0.8517881476360767,,0.0,0.59,0,0,30,0.8769653500350788,,0.0,0,0,30,0.8674952234074955,,0.0
mqtbench/ghz_15,15,hybrid_sabre_adopted,0,14,59,14,0.8774508243779107,0.0035249846601340903,28.0,0.334,0,14,59,0.8774508243779107,0.0035249846601340903,28.0,0,14,45,0.8776942131771238,0.003827865295333306,28.0
mqtbench/ghz_dynamic_15,15,hybrid_sabre_adopted,0,21,28,21,0.8218593137117908,0.0036237401706296158,42.0,0.491,0,21,28,0.8218593137117908,0.0036237401706296158,42.0,0,21,28,0.8223043094383263,0.0035385742877374958,42.0
mqtbench/graphstate_15,15,hybrid_sabre_adopted,4,27,21,27,0.8407610310344253,0.003759512866884414,44.0,0.419,4,27,21,0.8407610310344253,0.003759512866884414,44.0,2,21,20,0.8492072548103304,0.0037635962954001593,36.0
mqtbench/grover_15,15,rl_multistart_routed,102619,544657,1575220,544657,3.26e-322,0.003190400135764631,908800.0,44.944,102621,544663,1572671,4.15e-322,0.0034427085791667355,1030400.0,102090,494324,1276100,4.15e-322,0.0034455725843739442,1163200.0
mqtbench/half_adder_15,15,hybrid_sabre_adopted,54,319,589,319,0.09608713255433002,0.0035514959112413935,552.0,0.349,54,319,589,0.09608713255433002,0.0035514959112413935,552.0,43,266,465,0.1627258590445414,0.003668162679821028,538.0
mqtbench/hhl_15,15,rl_multistart_routed,137,819,1918,819,0.0027190075506576057,0.0032721446049101552,2090.0,0.551,143,837,1807,0.0026622867782899054,0.0033763328767718263,2150.0,133,731,1255,0.005447822172190073,0.003602259297396358,2128.0
mqtbench/iqpe_15,2,rl_multistart_routed,0,28,282,28,0.6539687540089764,0.00197721146115682,56.0,0.403,0,28,282,0.7367978982219973,0.0043315587916080865,56.0,0,27,297,0.7175604466528808,0.004331558791608087,56.0
mqtbench/qaoa_15,15,hybrid_sabre_adopted,78,434,633,434,0.06205090475786403,0.0035215533919866243,1024.0,0.419,78,434,633,0.06205090475786403,0.0035215533919866243,1024.0,73,391,524,0.07695599262045073,0.003491240046780781,1064.0
mqtbench/qft_15,15,hybrid_sabre_adopted,62,396,607,396,0.05021010612601208,0.003673781726585827,1256.0,1.255,62,396,607,0.05021010612601208,0.003673781726585827,1256.0,62,330,458,0.08791461592297203,0.003541699118422963,1344.0
mqtbench/qftentangled_15,15,hybrid_sabre_adopted,75,449,796,449,0.03485127753815516,0.0036538745177185352,1126.0,0.405,75,449,796,0.03485127753815516,0.0036538745177185352,1126.0,66,358,503,0.07554430627658762,0.0035746908286179158,1384.0
mqtbench/qnn_15,15,hybrid_sabre_adopted,0,14,62,14,0.8188650446516713,0.0035249846601340903,28.0,0.277,0,14,62,0.8188650446516713,0.0035249846601340903,28.0,0,14,48,0.8018259413702168,0.0035301801359904276,28.0
mqtbench/qpeexact_15,15,rl_multistart_routed,67,411,802,411,0.04932274269560482,0.003272974299410801,1088.0,1.121,76,438,855,0.04204317587638115,0.0036234595986278316,1120.0,62,349,653,0.07188155356697205,0.0033099714124034457,1288.0
mqtbench/qpeinexact_15,15,rl_multistart_routed,73,429,931,429,0.044706206179143455,0.0032140393360910054,1096.0,1.124,76,438,861,0.04163739489701436,0.0036234595986278316,1120.0,58,354,698,0.06989265689557823,0.003501892617363293,1152.0
mqtbench/qwalk_15,15,hybrid_sabre_adopted,5399,27207,70669,27207,3.134764019599434e-81,0.0034957218303664148,52068.0,2.228,5399,27207,70669,3.134764019599434e-81,0.0034957218303664148,52068.0,5275,24633,57616,2.3571287910662033e-72,0.003480243722728474,51276.0
mqtbench/randomcircuit_15,15,hybrid_sabre_adopted,329,1789,2791,1789,5.008559629950835e-06,0.003590465832453504,4100.0,0.435,329,1789,2791,5.008559629950835e-06,0.003590465832453504,4100.0,326,1641,2414,1.5435127231543267e-05,0.0035310534353997698,4078.0
mqtbench/vqe_real_amp_15,15,hybrid_sabre_adopted,0,42,77,42,0.6137547956244704,0.0034932902917665966,84.0,0.293,0,42,77,0.6137547956244704,0.0034932902917665966,84.0,0,42,76,0.6285026660656997,0.003435614164279347,84.0
