circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BIGD/20QBT_45CYC_.0D1_.1D2_0,20,rl_multistart_routed,12,63,120,63,0.6862428100576848,0.003037068641595655,78.0,0.899,10,57,129,0.7112563971686999,0.0032484322107866727,94.0,5,38,72,0.7970913025837085,0.0033766624579923527,106.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_1,20,hybrid_sabre_adopted,12,67,144,67,0.6570115634468606,0.003493553428964354,98.0,0.363,12,67,144,0.6570115634468606,0.003493553428964354,98.0,11,58,125,0.6877634132942354,0.0034059592455060726,106.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_2,20,rl_multistart_routed,13,74,154,74,0.641701354030876,0.0032852193508258977,96.0,0.6,12,71,158,0.6515266372317896,0.003575666446010462,136.0,3,38,85,0.7888073693648447,0.0036401692472607396,138.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_3,20,hybrid_sabre_adopted,6,41,106,41,0.7886566086205162,0.00367871314028894,78.0,0.442,6,41,106,0.7886566086205162,0.00367871314028894,78.0,5,32,69,0.8330106198078195,0.0034353403926973593,74.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_4,20,rl_multistart_routed,16,83,161,83,0.5862178691061952,0.0033698966690115435,98.0,0.348,14,77,171,0.5942439990901576,0.004168863765410059,100.0,9,52,105,0.7024146420313432,0.0034066489720920145,106.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_5,20,hybrid_sabre_adopted,6,41,75,41,0.7640152333592071,0.003757945697335192,76.0,0.345,6,41,75,0.7640152333592071,0.003757945697335192,76.0,3,28,37,0.8365120461498677,0.0036150357422733244,80.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_6,20,rl_multistart_routed,8,49,113,49,0.752743510337569,0.0028905612014408963,70.0,0.32,8,49,109,0.7621690194243245,0.0030501033965382365,70.0,7,44,99,0.7456965474487921,0.003661730219589864,72.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_7,20,hybrid_sabre_adopted,10,59,89,59,0.701235331920993,0.0032765944432218076,84.0,0.327,10,59,89,0.701235331920993,0.0032765944432218076,84.0,8,45,68,0.7489752272273078,0.0035946264792189146,96.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_8,20,hybrid_sabre_adopted,12,65,128,65,0.66827543858868,0.003192319563551262,116.0,0.403,12,65,128,0.66827543858868,0.003192319563551262,116.0,7,44,65,0.7657126823080784,0.0035561162373422216,116.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_9,20,hybrid_sabre_adopted,5,34,64,34,0.8035534487199283,0.003469806339091035,60.0,0.322,5,34,64,0.8035534487199283,0.003469806339091035,60.0,1,18,32,0.877168913128164,0.0037894709179397182,68.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_0,20,hybrid_sabre_adopted,28,154,189,154,0.38977469566837913,0.003465981219568942,262.0,0.338,28,154,189,0.38977469566837913,0.003465981219568942,262.0,20,118,127,0.48514688565391495,0.0035895491303923354,252.0
