circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BNTF/16QBT_05CYC_TFL_0,16,rl_multistart_routed,2,17,29,17,0.889925220030353,0.0028744714437729467,24.0,0.977,0,11,16,0.9087289216761038,0.0042499574217480665,22.0,0,7,9,0.9409223083614966,0.0036564841331486503,22.0
queko_BNTF/16QBT_05CYC_TFL_1,16,rl_multistart_routed,0,11,17,11,0.9086793220008115,0.003242717532570116,22.0,0.308,0,11,17,0.9202140776176133,0.003393084223920426,22.0,0,11,13,0.9210937367947251,0.00341025437694023,22.0
queko_BNTF/16QBT_05CYC_TFL_2,16,rl_multistart_routed,0,9,15,9,0.9221424216622817,0.0029037681049961486,18.0,0.302,0,9,15,0.9212622490804592,0.0034721475981810044,18.0,0,9,13,0.9270374200686246,0.0033563777172807754,18.0
queko_BNTF/16QBT_05CYC_TFL_3,16,hybrid_sabre_adopted,0,9,11,9,0.915508675523596,0.0035008215719286207,18.0,0.288,0,9,11,0.915508675523596,0.0035008215719286207,18.0,0,9,8,0.9287926036818539,0.0036367410765853203,18.0
queko_BNTF/16QBT_05CYC_TFL_4,16,hybrid_sabre_adopted,0,11,13,11,0.9143503308110029,0.00278516084455679,22.0,0.284,0,11,13,0.9141683655871502,0.00278516084455679,22.0,0,9,10,0.9340296822069649,0.0030826093046055544,22.0
queko_BNTF/16QBT_05CYC_TFL_5,16,rl_multistart_routed,0,5,13,5,0.9483533720323031,0.0024278857414636187,10.0,0.286,0,5,13,0.9608896034208269,0.002852213188562272,10.0,0,3,7,0.968009043754015,0.004256112908917997,18.0
queko_BNTF/16QBT_05CYC_TFL_6,16,rl_multistart_routed,1,12,19,12,0.9067206844853022,0.003020133453933912,20.0,0.287,0,9,15,0.9202260076118842,0.0036563127621918236,18.0,0,9,12,0.9295527443641839,0.0037413106387380562,18.0
queko_BNTF/16QBT_05CYC_TFL_7,16,rl_multistart_routed,2,17,31,17,0.8704979255700405,0.003047397479086808,30.0,0.332,0,11,19,0.9115145988504173,0.0031349862955816865,22.0,0,11,15,0.9134335477519709,0.003816545833898446,22.0
queko_BNTF/16QBT_05CYC_TFL_8,16,rl_multistart_routed,2,13,16,13,0.8988047086768304,0.0028165072907130446,18.0,0.3,0,7,11,0.9316236110461488,0.0036545379309149257,14.0,0,7,8,0.9340112255012311,0.0036998829959308506,14.0
queko_BNTF/16QBT_05CYC_TFL_9,16,hybrid_sabre_adopted,0,13,13,13,0.9071200440650881,0.0032233165025292603,26.0,0.284,0,13,13,0.9071200440650881,0.0032233165025292603,26.0,0,7,12,0.9442021340422846,0.0030973053414369766,74.0
queko_BNTF/16QBT_10CYC_TFL_0,16,hybrid_sabre_adopted,0,19,20,19,0.8742192403874559,0.0031147140063172117,38.0,0.317,0,19,20,0.8736801652329496,0.0031147140063172117,38.0,0,15,21,0.889821488305544,0.0037094192537205917,90.0
queko_BNTF/16QBT_10CYC_TFL_1,16,hybrid_sabre_adopted,0,17,17,17,0.8820061956254229,0.002938004907608783,34.0,0.321,0,17,17,0.8820061956254229,0.002938004907608783,34.0,0,11,12,0.9152651320648284,0.003183800311155979,46.0
queko_BNTF/16QBT_10CYC_TFL_2,16,hybrid_sabre_adopted,0,17,19,17,0.8738560458168884,0.0032426751936197435,34.0,0.295,0,17,19,0.8738560458168884,0.0032426751936197435,34.0,0,13,14,0.9091076764837082,0.00390985774683744,98.0
queko_BNTF/16QBT_10CYC_TFL_3,16,rl_multistart_routed,1,18,22,18,0.8697630799762744,0.00358165621187241,34.0,0.305,0,15,19,0.8864725328611216,0.003627210678044705,30.0,0,7,11,0.9482189633568043,0.00368618799190164,142.0
queko_BNTF/16QBT_10CYC_TFL_4,16,hybrid_sabre_adopted,0,23,24,23,0.8337635612818287,0.0032064107283761543,46.0,0.32,0,23,24,0.8337635612818287,0.0032064107283761543,46.0,0,21,19,0.8526514473986683,0.0038467387755489737,78.0
queko_BNTF/16QBT_10CYC_TFL_5,16,hybrid_sabre_adopted,0,19,27,19,0.8637141355604212,0.0028969506394788454,38.0,0.298,0,19,27,0.8637141355604212,0.0028969506394788454,38.0,0,13,21,0.912549225909374,0.0033362613040030797,74.0
queko_BNTF/16QBT_10CYC_TFL_6,16,hybrid_sabre_adopted,0,19,23,19,0.8542574087309817,0.003398315203348703,38.0,0.331,0,19,23,0.8542574087309817,0.003398315203348703,38.0,0,17,16,0.8680517060570327,0.0042006795466696485,66.0
queko_BNTF/16QBT_10CYC_TFL_7,16,hybrid_sabre_adopted,0,25,19,25,0.8388574114715998,0.0037081362772979926,50.0,0.447,0,25,19,0.8388574114715998,0.0037081362772979926,50.0,0,11,15,0.9089405904545947,0.0037472214410416605,162.0
queko_BNTF/16QBT_10CYC_TFL_8,16,hybrid_sabre_adopted,0,25,28,25,0.8453535891003087,0.0036603314511458795,50.0,0.41,0,25,28,0.8453535891003087,0.0036603314511458795,50.0,0,15,22,0.9037086269620621,0.002989591151945091,102.0
queko_BNTF/16QBT_10CYC_TFL_9,16,hybrid_sabre_adopted,0,17,16,17,0.8605059283491853,0.003419114576378954,34.0,0.364,0,17,16,0.8605059283491853,0.003419114576378954,34.0,0,13,13,0.9039443007814773,0.0032222888405501224,82.0
