circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BIGD/20QBT_45CYC_.0D1_.1D2_0,20,rl_multistart_routed,11,60,123,46,0.6962780770721958,0.002665008242569108,108.0,1.102,12,63,133,0.1352675384940171,0.018916131930590385,142.0,6,37,93,0.3079017944118877,0.017141641055704697,68.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_1,20,rl_multistart_routed,10,61,136,52,0.6391273271945758,0.003974588225756459,126.0,1.025,12,67,144,0.09226550633124704,0.02128984539442784,98.0,9,52,114,0.1586821286099061,0.021630849319991076,98.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_2,20,rl_multistart_routed,11,68,153,59,0.6675256217965944,0.0031477470087172437,156.0,0.981,13,74,166,0.07552584718159931,0.020388034796595757,112.0,4,39,93,0.3062294044609038,0.016338344727121708,170.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_3,20,rl_multistart_routed,8,47,119,43,0.7591143961734075,0.003024168152552059,117.0,1.023,9,50,112,0.19072787295287905,0.018721315448026746,76.0,5,30,77,0.36743324811853967,0.019006361431776187,98.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_4,20,rl_multistart_routed,15,80,146,52,0.6166868423455452,0.002991723494173551,171.0,0.997,12,71,156,0.4840698891523961,0.007132670040943088,100.0,8,51,127,0.12084206791846733,0.02303531022657821,110.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_5,20,rl_multistart_routed,6,41,53,22,0.7604145838823563,0.0033270000624264027,90.0,0.964,6,41,58,0.350144188084145,0.016313388190436567,70.0,5,32,41,0.5073529756847205,0.011783441125193181,80.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_6,20,rl_multistart_routed,9,52,124,43,0.7397447848047362,0.0026744956122847375,105.0,0.99,10,55,121,0.20852347862510232,0.0179580284368537,74.0,7,44,80,0.24242979688486335,0.019260922968098892,78.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_7,20,rl_multistart_routed,7,50,93,32,0.718025370984069,0.0033591331581919333,120.0,1.021,12,65,90,0.17520752116029176,0.015790747226993942,106.0,7,44,60,0.5527171001516094,0.007708981097463961,88.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_8,20,rl_multistart_routed,13,68,128,49,0.6609417083207594,0.003059211374342546,138.0,1.057,12,65,128,0.08634439569298448,0.02176245573077148,106.0,6,41,69,0.20989107125323753,0.02105184097350557,114.0
queko_BIGD/20QBT_45CYC_.0D1_.1D2_9,20,rl_multistart_routed,7,40,71,30,0.7621992501627202,0.0037775231727157103,84.0,1.038,5,34,47,0.5540862747759597,0.01019494684049179,62.0,1,18,34,0.5546109096251961,0.01605446055200759,60.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_0,20,rl_multistart_routed,47,211,216,82,0.2702511783938988,0.003180885760111958,369.0,1.042,41,193,212,0.006330610565866415,0.017271062397179373,270.0,22,118,148,0.023372917508181584,0.018930158228513558,284.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_1,20,rl_multistart_routed,20,118,93,33,0.4560505314241041,0.0036339303403030115,243.0,1.138,30,148,129,0.025448187448164097,0.015323852594700897,192.0,20,100,79,0.19296470238161256,0.009785918476489117,182.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_2,20,rl_multistart_routed,39,187,192,76,0.30879922966110573,0.0034271596772944457,348.0,1.076,35,175,170,0.038891618744551215,0.012504836678151297,300.0,24,126,146,0.04023735763044229,0.017931405488025482,246.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_3,20,rl_multistart_routed,25,141,139,50,0.3976674916423433,0.003542097472360604,315.0,1.019,29,153,150,0.047856323830114726,0.01256703164883398,258.0,24,126,113,0.1017362518183689,0.011089259623258572,260.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_4,20,rl_multistart_routed,39,183,166,64,0.30782084500685686,0.0034986607057124483,342.0,1.003,35,171,169,0.013643467847757853,0.01645842848724734,232.0,16,92,85,0.1524568266942477,0.01300656874436787,270.0
queko_BIGD/20QBT_45CYC_.0D1_.2D2_5,20,rl_multistart_routed,35,169,226,85,0.33970960117275706,0.003480386737211009,336.0,0.986,31,157,158,0.013051745260727221,0.01706040242853938,218.0,21,113,119,0.07257251550677453,0.014820949269560508,230.0
