circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BNTF/16QBT_05CYC_TFL_0,16,hybrid_sabre_adopted,0,11,16,11,0.7268232545744892,0.01590309828169685,142.0,0.896,0,11,16,0.7241241079314412,0.01590309828169685,158.0,0,7,11,0.8443217224826617,0.010119448965874914,90.0
queko_BNTF/16QBT_05CYC_TFL_1,16,hybrid_sabre_adopted,0,11,17,11,0.705075128536404,0.016133291156020236,34.0,0.508,0,11,17,0.7052677845861463,0.016133291156020236,34.0,0,11,17,0.7289624644229608,0.015387035756476252,118.0
queko_BNTF/16QBT_05CYC_TFL_2,16,hybrid_sabre_adopted,0,9,15,9,0.6767670916383344,0.021182188185975552,106.0,0.361,0,9,15,0.6767670916383344,0.021182188185975552,82.0,0,9,13,0.7447327500310092,0.019454500617265377,42.0
queko_BNTF/16QBT_05CYC_TFL_3,16,hybrid_sabre_adopted,0,9,11,9,0.6395975948493441,0.021055544060149915,70.0,0.347,0,9,11,0.6395975948493441,0.021055544060149915,70.0,0,9,8,0.7065922901292255,0.018006815265607864,106.0
queko_BNTF/16QBT_05CYC_TFL_4,16,hybrid_sabre_adopted,0,11,13,11,0.6438978992040483,0.020783366164118907,30.0,0.377,0,11,13,0.6438978992040483,0.020783366164118907,30.0,0,11,12,0.6960265458222926,0.01790721076532219,30.0
queko_BNTF/16QBT_05CYC_TFL_5,16,rl_multistart_routed,0,5,13,5,0.9469775229262956,0.0029690527282273133,30.0,0.441,0,5,13,0.7690461092610336,0.019060774382525198,238.0,0,3,6,0.9070349134111598,0.008118756697651799,342.0
queko_BNTF/16QBT_05CYC_TFL_6,16,hybrid_sabre_adopted,0,9,15,9,0.7286430140086421,0.01679130169774831,110.0,0.434,0,9,15,0.7286430140086421,0.01679130169774831,110.0,0,9,12,0.7581706189634594,0.016677164396654526,150.0
queko_BNTF/16QBT_05CYC_TFL_7,16,hybrid_sabre_adopted,0,11,19,11,0.5691785964338858,0.022533070607867425,106.0,0.35,0,11,19,0.5691785964338858,0.022533070607867425,90.0,0,11,15,0.7310306843971561,0.01253533191659799,46.0
queko_BNTF/16QBT_05CYC_TFL_8,16,hybrid_sabre_adopted,0,7,11,7,0.7695785703028513,0.012926264866166052,66.0,0.436,0,7,11,0.770135054355989,0.012926264866166052,66.0,0,7,9,0.793685490071472,0.012512054731173717,226.0
queko_BNTF/16QBT_05CYC_TFL_9,16,hybrid_sabre_adopted,0,13,13,13,0.591928942186046,0.022760913534468536,42.0,0.377,0,13,13,0.592090681959744,0.022760913534468536,42.0,0,7,11,0.8015380585947032,0.014806772631740243,166.0
queko_BNTF/16QBT_10CYC_TFL_0,16,hybrid_sabre_adopted,0,19,20,19,0.6137896972413213,0.01137193797646635,58.0,0.348,0,19,20,0.6137896972413213,0.01137193797646635,58.0,0,15,18,0.7322269117088035,0.00964486034593081,166.0
queko_BNTF/16QBT_10CYC_TFL_1,16,hybrid_sabre_adopted,0,17,17,17,0.609329352733548,0.01612905630022038,94.0,0.347,0,17,17,0.609329352733548,0.01612905630022038,94.0,0,13,12,0.7089166490082633,0.015234380163738967,102.0
queko_BNTF/16QBT_10CYC_TFL_2,16,hybrid_sabre_adopted,0,17,19,17,0.6534448566023909,0.015305231928714665,134.0,0.38,0,17,19,0.6534448566023909,0.015305231928714665,150.0,0,13,16,0.7589342433844487,0.011507118180893967,270.0
queko_BNTF/16QBT_10CYC_TFL_3,16,hybrid_sabre_adopted,0,15,19,15,0.6554929846990943,0.011257372888655325,246.0,0.347,0,15,19,0.6554929846990943,0.011257372888655325,246.0,0,7,11,0.7961400548081712,0.017374878467058433,418.0
queko_BNTF/16QBT_10CYC_TFL_4,16,hybrid_sabre_adopted,0,23,24,23,0.534170128430726,0.013593481405621152,62.0,0.401,0,23,24,0.534170128430726,0.013593481405621152,62.0,0,19,19,0.6473826266068177,0.011349419347672317,206.0
queko_BNTF/16QBT_10CYC_TFL_5,16,hybrid_sabre_adopted,0,19,27,19,0.4781692963201436,0.016130405402742683,186.0,0.36,0,19,27,0.4781692963201436,0.016130405402742683,186.0,0,13,20,0.6619182176692919,0.01317933037233811,314.0
queko_BNTF/16QBT_10CYC_TFL_6,16,hybrid_sabre_adopted,0,19,23,19,0.5844223163253525,0.014838164793993738,82.0,0.384,0,19,23,0.5844223163253525,0.014838164793993738,82.0,0,15,15,0.6914296588927991,0.012139408230331297,126.0
queko_BNTF/16QBT_10CYC_TFL_7,16,hybrid_sabre_adopted,0,25,19,25,0.4759875300552584,0.016385342158371664,66.0,0.422,0,25,19,0.4759875300552584,0.016385342158371664,66.0,0,11,14,0.77930451675965,0.011636011433135036,398.0
queko_BNTF/16QBT_10CYC_TFL_8,16,hybrid_sabre_adopted,0,25,28,25,0.4888848014938344,0.015193314011849693,58.0,0.398,0,25,28,0.4888848014938344,0.015193314011849693,58.0,0,13,16,0.6615869798593895,0.0202557514578102,134.0
queko_BNTF/16QBT_10CYC_TFL_9,16,hybrid_sabre_adopted,0,17,16,17,0.6131187682505873,0.01207384912216438,58.0,0.373,0,17,16,0.6131187682505873,0.01207384912216438,58.0,0,13,13,0.674716290235599,0.014821656130560348,214.0
queko_BNTF/16QBT_15CYC_TFL_0,16,hybrid_sabre_adopted,0,24,26,24,0.5176760361911722,0.014258539006765478,88.0,0.516,0,24,26,0.5176760361911722,0.014258539006765478,88.0,0,20,19,0.6474810181345063,0.010183006903365472,120.0
queko_BNTF/16QBT_15CYC_TFL_1,16,hybrid_sabre_adopted,0,36,33,36,0.4061006110520573,0.01310230283730635,88.0,0.467,0,36,33,0.4061006110520573,0.01310230283730635,88.0,0,22,22,0.5855939701511793,0.013562087506804571,124.0
queko_BNTF/16QBT_15CYC_TFL_2,16,hybrid_sabre_adopted,0,36,38,36,0.272371111033261,0.01980720187485051,144.0,0.358,0,36,38,0.272371111033261,0.01980720187485051,144.0,0,24,29,0.5697091212108467,0.012094675817711233,252.0
queko_BNTF/16QBT_15CYC_TFL_3,16,hybrid_sabre_adopted,0,30,30,30,0.3136351806094193,0.01911433110617416,88.0,0.409,0,30,30,0.3136351806094193,0.01911433110617416,88.0,0,22,21,0.5502147076615539,0.01384685043294198,376.0
queko_BNTF/16QBT_15CYC_TFL_4,16,hybrid_sabre_adopted,0,30,25,30,0.3966199080376511,0.01553919423263342,96.0,0.458,0,30,25,0.3966199080376511,0.01553919423263342,96.0,0,22,22,0.7447202700746763,0.006310115229899341,120.0
queko_BNTF/16QBT_15CYC_TFL_5,16,hybrid_sabre_adopted,0,30,27,30,0.3841452777588577,0.014597450477932995,104.0,0.523,0,30,27,0.3841452777588577,0.014597450477932995,104.0,0,18,16,0.6752257728086343,0.010003610897253108,120.0
queko_BNTF/16QBT_15CYC_TFL_6,16,hybrid_sabre_adopted,0,34,31,34,0.37978828434227346,0.013930372579149045,88.0,0.508,0,34,31,0.37978828434227346,0.013930372579149045,88.0,0,28,26,0.5651168385340208,0.010095888771839135,88.0
queko_BNTF/16QBT_15CYC_TFL_7,16,hybrid_sabre_adopted,0,26,31,26,0.40450112858181836,0.017226898647858344,88.0,0.39,0,26,31,0.40450112858181836,0.017226898647858344,88.0,0,20,22,0.617344613701168,0.012114459351327923,104.0
queko_BNTF/16QBT_15CYC_TFL_8,16,hybrid_sabre_adopted,0,28,40,28,0.38344219980774186,0.014464218437861621,104.0,0.437,0,28,40,0.38344219980774186,0.014464218437861621,104.0,0,22,32,0.6045757703449204,0.012118639578828522,216.0
queko_BNTF/16QBT_15CYC_TFL_9,16,hybrid_sabre_adopted,0,30,28,30,0.36781223139917085,0.016864838586013266,88.0,0.553,0,30,28,0.36781223139917085,0.016864838586013266,88.0,0,24,20,0.5648902424170013,0.011250338813889364,192.0
queko_BNTF/16QBT_20CYC_TFL_0,16,hybrid_sabre_adopted,0,34,35,34,0.4635616179805438,0.013162090078228023,116.0,0.628,0,34,35,0.4635616179805438,0.013162090078228023,116.0,0,26,24,0.545046926472145,0.012662217984647374,116.0
queko_BNTF/16QBT_20CYC_TFL_1,16,hybrid_sabre_adopted,0,36,38,36,0.38638142782572366,0.011475201185990993,116.0,0.663,0,36,38,0.38638142782572366,0.011475201185990993,116.0,0,22,21,0.6374916591846914,0.011696391528735474,140.0
queko_BNTF/16QBT_20CYC_TFL_2,16,hybrid_sabre_adopted,0,28,26,28,0.49717560701188956,0.011258530629778865,116.0,0.668,0,28,26,0.49717560701188956,0.011258530629778865,116.0,0,18,17,0.6317558018968393,0.011456830622008583,340.0
queko_BNTF/16QBT_20CYC_TFL_3,16,hybrid_sabre_adopted,0,36,39,36,0.3220199777321346,0.016919621520789192,116.0,0.642,0,36,39,0.3220199777321346,0.016919621520789192,116.0,0,16,26,0.6800639443239829,0.011356110145553154,492.0
queko_BNTF/16QBT_20CYC_TFL_4,16,hybrid_sabre_adopted,0,40,37,40,0.3630121097199533,0.013231129497217308,148.0,0.653,0,40,37,0.3630121097199533,0.013231129497217308,148.0,0,30,28,0.5167117598352323,0.01196983650663725,132.0
queko_BNTF/16QBT_20CYC_TFL_5,16,hybrid_sabre_adopted,0,46,37,46,0.36312151775906687,0.012444884027438425,116.0,0.674,0,46,37,0.36312151775906687,0.012444884027438425,116.0,0,30,27,0.5283164784113736,0.01236888565219269,116.0
queko_BNTF/16QBT_20CYC_TFL_6,16,hybrid_sabre_adopted,0,36,37,36,0.3085655135126912,0.018098972738305977,168.0,0.628,0,36,37,0.3085655135126912,0.018098972738305977,168.0,0,28,29,0.5023149370186178,0.01496401092289701,388.0
queko_BNTF/16QBT_20CYC_TFL_7,16,hybrid_sabre_adopted,0,50,47,50,0.21662382246478298,0.014490502530626446,116.0,0.673,0,50,47,0.21662382246478298,0.014490502530626446,116.0,0,44,39,0.42327158691531447,0.011045165083852025,116.0
queko_BNTF/16QBT_20CYC_TFL_8,16,hybrid_sabre_adopted,0,38,38,38,0.31248381932400643,0.01597448316090902,116.0,0.655,0,38,38,0.31248381932400643,0.01597448316090902,116.0,0,28,26,0.5118917272174301,0.013084295213354146,124.0
queko_BNTF/16QBT_20CYC_TFL_9,16,hybrid_sabre_adopted,0,40,37,40,0.3100968832016302,0.0156452783645776,116.0,0.523,0,40,37,0.3100968832016302,0.0156452783645776,116.0,0,30,27,0.6020286975902622,0.007997237165233838,196.0
queko_BNTF/16QBT_25CYC_TFL_0,16,hybrid_sabre_adopted,0,40,35,40,0.3146140645337322,0.014457081683214948,144.0,0.383,0,40,35,0.3146140645337322,0.014457081683214948,144.0,0,26,26,0.5341503208669524,0.013628272904053267,724.0
queko_BNTF/16QBT_25CYC_TFL_1,16,hybrid_sabre_adopted,0,52,41,52,0.3036310814293629,0.013460489295059226,144.0,0.417,0,52,41,0.3036310814293629,0.013460489295059226,144.0,0,30,24,0.5504744733231013,0.0113933807608205,144.0
